Stock,Date,Adj Close
S&P500,7/1/1986,236.119995
S&P500,8/1/1986,252.929993
S&P500,9/1/1986,231.320007
S&P500,10/1/1986,243.979996
S&P500,11/1/1986,249.220001
S&P500,12/1/1986,242.169998
S&P500,1/1/1987,274.079987
S&P500,2/1/1987,284.200012
S&P500,3/1/1987,291.700012
S&P500,4/1/1987,288.359985
S&P500,5/1/1987,290.100006
S&P500,6/1/1987,304
S&P500,7/1/1987,318.660004
S&P500,8/1/1987,329.799988
S&P500,9/1/1987,321.829987
S&P500,10/1/1987,251.789993
S&P500,11/1/1987,230.300003
S&P500,12/1/1987,247.080002
S&P500,1/1/1988,257.070007
S&P500,2/1/1988,267.820007
S&P500,3/1/1988,258.890015
S&P500,4/1/1988,261.329987
S&P500,5/1/1988,262.160004
S&P500,6/1/1988,273.5
S&P500,7/1/1988,272.019989
S&P500,8/1/1988,261.519989
S&P500,9/1/1988,271.910004
S&P500,10/1/1988,278.970001
S&P500,11/1/1988,273.700012
S&P500,12/1/1988,277.720001
S&P500,1/1/1989,297.470001
S&P500,2/1/1989,288.859985
S&P500,3/1/1989,294.869995
S&P500,4/1/1989,309.640015
S&P500,5/1/1989,320.519989
S&P500,6/1/1989,317.980011
S&P500,7/1/1989,346.079987
S&P500,8/1/1989,351.450012
S&P500,9/1/1989,349.149994
S&P500,10/1/1989,340.359985
S&P500,11/1/1989,345.98999
S&P500,12/1/1989,353.399994
S&P500,1/1/1990,329.079987
S&P500,2/1/1990,331.890015
S&P500,3/1/1990,339.940002
S&P500,4/1/1990,330.799988
S&P500,5/1/1990,361.230011
S&P500,6/1/1990,358.019989
S&P500,7/1/1990,356.149994
S&P500,8/1/1990,322.559998
S&P500,9/1/1990,306.049988
S&P500,10/1/1990,304
S&P500,11/1/1990,322.220001
S&P500,12/1/1990,330.220001
S&P500,1/1/1991,343.929993
S&P500,2/1/1991,367.070007
S&P500,3/1/1991,375.220001
S&P500,4/1/1991,375.339996
S&P500,5/1/1991,389.829987
S&P500,6/1/1991,371.160004
S&P500,7/1/1991,387.809998
S&P500,8/1/1991,395.429993
S&P500,9/1/1991,387.859985
S&P500,10/1/1991,392.450012
S&P500,11/1/1991,375.220001
S&P500,12/1/1991,417.089996
S&P500,1/1/1992,408.779999
S&P500,2/1/1992,412.700012
S&P500,3/1/1992,403.690002
S&P500,4/1/1992,414.950012
S&P500,5/1/1992,415.350006
S&P500,6/1/1992,408.140015
S&P500,7/1/1992,424.209991
S&P500,8/1/1992,414.029999
S&P500,9/1/1992,417.799988
S&P500,10/1/1992,418.679993
S&P500,11/1/1992,431.350006
S&P500,12/1/1992,435.709991
S&P500,1/1/1993,438.779999
S&P500,2/1/1993,443.380005
S&P500,3/1/1993,451.670013
S&P500,4/1/1993,440.190002
S&P500,5/1/1993,450.190002
S&P500,6/1/1993,450.529999
S&P500,7/1/1993,448.130005
S&P500,8/1/1993,463.559998
S&P500,9/1/1993,458.929993
S&P500,10/1/1993,467.829987
S&P500,11/1/1993,461.790009
S&P500,12/1/1993,466.450012
S&P500,1/1/1994,481.609985
S&P500,2/1/1994,467.140015
S&P500,3/1/1994,445.769989
S&P500,4/1/1994,450.910004
S&P500,5/1/1994,456.5
S&P500,6/1/1994,444.269989
S&P500,7/1/1994,458.26001
S&P500,8/1/1994,475.48999
S&P500,9/1/1994,462.709991
S&P500,10/1/1994,472.350006
S&P500,11/1/1994,453.690002
S&P500,12/1/1994,459.269989
S&P500,1/1/1995,470.420013
S&P500,2/1/1995,487.390015
S&P500,3/1/1995,500.709991
S&P500,4/1/1995,514.710022
S&P500,5/1/1995,533.400024
S&P500,6/1/1995,544.75
S&P500,7/1/1995,562.059998
S&P500,8/1/1995,561.880005
S&P500,9/1/1995,584.409973
S&P500,10/1/1995,581.5
S&P500,11/1/1995,605.369995
S&P500,12/1/1995,615.929993
S&P500,1/1/1996,636.02002
S&P500,2/1/1996,640.429993
S&P500,3/1/1996,645.5
S&P500,4/1/1996,654.169983
S&P500,5/1/1996,669.119995
S&P500,6/1/1996,670.630005
